Question,Answer
How to prevent Creating a Family Health History ?,"People can't change the genes they inherit from their parents, but they can change other things to prevent diseases that run in the family. This is good news because many diseases result from a combination of a person's genes, lifestyle, and environment. Actions to reduce the risk of disease may involve lifestyle changes, such as eating healthier foods, exercising more, getting certain medical tests, and taking medicines that are more effective based on your specific genes. Ask your doctor or health care professional for advice."
What is (are) Creating a Family Health History ?,"Here are important questions to ask your blood relatives. - What is your age or date of birth?  - Do you have any chronic conditions, such as heart disease, diabetes, asthma, or high blood pressure?  - Have you had any other serious illnesses, such as cancer or stroke? (If you know of any specific diseases or illnesses in your family, ask about them, too.)  - How old were you when you developed these illnesses?  - Have you or your partner had any problems with pregnancies or childbirth?  What is your age or date of birth? Do you have any chronic conditions, such as heart disease, diabetes, asthma, or high blood pressure? Have you had any other serious illnesses, such as cancer or stroke? (If you know of any specific diseases or illnesses in your family, ask about them, too.) How old were you when you developed these illnesses? Have you or your partner had any problems with pregnancies or childbirth? Other questions to ask your blood relatives include - What countries did our family come from? (Knowing this can help because some heritable diseases occur more often in certain population groups. Also, different diets and living environments can influence the risks of developing certain diseases.)  - Has anyone in the family had birth defects, learning problems, or developmental disabilities, such as Down's syndrome?  - What illnesses did our late parents or grandparents have? How old were they when they died? What caused their deaths?  What countries did our family come from? (Knowing this can help because some heritable diseases occur more often in certain population groups. Also, different diets and living environments can influence the risks of developing certain diseases.) Has anyone in the family had birth defects, learning problems, or developmental disabilities, such as Down's syndrome? What illnesses did our late parents or grandparents have? How old were they when they died? What caused their deaths?"
What is (are) Creating a Family Health History ?,Talk to other family members. You can also obtain a death certificate from a state or county vital statistics office to confirm a late relative's cause of death. Funeral homes and online obituaries may also have this information.
What is (are) Creating a Family Health History ?,"In a genetic test, a small sample of blood, saliva, or tissue is taken to examine a person's genes. Sometimes, genetic testing can detect diseases that may be preventable or treatable. This type of testing is available for thousands of conditions."
How to diagnose Creating a Family Health History ?,"Finding out your test results can affect you emotionally. Learning that you are someone in your family has or is at risk for a disease can be scary. Some people can also feel guilty, angry, anxious, or depressed when they find out their results. Covering the costs of testing can also be a challenge. Genetic testing can cost anywhere from less than $100 to more than $2,000. Health insurance companies may cover part or all of the cost of testing. Genetic testing cannot tell you everything about inherited diseases. For example, a positive result does not always mean you will develop a disease, and it is hard to predict how severe symptoms may be. Geneticists and genetic counselors can talk more specifically about what a particular test will or will not tell you, and can help you decide whether to undergo testing. Many people are worried about discrimination based on their genetic test results. In 2008, Congress enacted the Genetic Information Nondiscrimination Act (GINA) to protect people from discrimination by their health insurance provider or employer. GINA does not apply to long-term care, disability, or life insurance providers. (For more information about genetic discrimination and GINA, see  The Genetic Information Nondiscrimination Act of 2008."
What is (are) Balance Problems ?,"Have you ever felt dizzy, lightheaded, or as if the room were spinning around you? These can be very troublesome sensations. If the feeling happens often, it could be a sign of a balance problem. Balance problems are among the most common reasons that older adults seek help from a doctor. In 2008, an estimated 14.8 percent of American adults (33.4 million) had a balance or dizziness problem during the past year. Why Good Balance is Important Having good balance means being able to control and maintain your body's position, whether you are moving or remaining still. An intact sense of balance helps you - walk without staggering  - get up from a chair without falling   - climb stairs without tripping  - bend over without falling. walk without staggering get up from a chair without falling climb stairs without tripping bend over without falling. The part of the inner ear responsible for balance is the vestibular system, often referred to as the labyrinth. To maintain your body's position, the labyrinth interacts with other systems in the body, such as the eyes, bones and joints. Good balance is important to help you get around, stay independent, and carry out daily activities. Learn how your body maintains its balance. When People Have Problems with Balance As they get older, many people experience problems with their sense of balance. They feel dizzy or unsteady, or as if they or their surroundings were in motion. Disturbances of the inner ear are a common cause. Vertigo, the feeling that you or the things around you are spinning, is also a common symptom. Balance disorders are one reason older people fall. Falls and fall-related injuries, such as hip fracture, can have a serious impact on an older person's life. If you fall, it could limit your activities or make it impossible to live independently. Many people often become more isolated after a fall. According to the Centers for Disease Control and Prevention, roughly more than one-third of adults ages 65 years and older fall each year. Among older adults, falls are the leading cause of injury-related deaths.  Learn other ways a fall may affect an older adult's life. BPPV (Benign Paroxysmal Positional Vertigo) There are many types of balance disorders. One of the most common is benign paroxysmal positional vertigo, or BPPV. In BPPV, you experience a brief, intense feeling of vertigo when you change the position of your head, such as when rolling over to the left or right, upon getting out of bed, or when looking for an object on a high or low shelf. BPPV is more likely to occur in adults aged 60 and older, but can also occur in younger people. In BPPV, small calcium particles in the inner ear become displaced and disrupt the inner ear balance sensors, causing dizziness. The reason they become displaced is not known; the cause may be an inner ear infection, head injury, or aging. Labyrinthitis This is an infection or inflammation of the inner ear that causes dizziness and loss of balance. It is often associated with an upper respiratory infection such as the flu. Mnire's Disease Mnire's disease is a balance disorder that causes a person to experience - vertigo  - hearing loss that comes and goes  - tinnitus, which is a ringing or roaring in the ears  - a feeling of fullness in the ear.  vertigo hearing loss that comes and goes tinnitus, which is a ringing or roaring in the ears a feeling of fullness in the ear. It affects adults of any age. The cause is unknown. See a fuller list of balance disorders. There are many ways to treat balance disorders. Treatments vary depending on the cause. See your doctor if you are experiencing dizziness, vertigo, or other problems with your balance."
What is (are) Balance Problems ?,"A balance disorder is a disturbance of the body systems controlling balance. This disturbance can make people feel dizzy, unsteady, or as if they were spinning. Balance disorders are a common cause of falls and fall-related injuries, such as hip fractures."
How many people are affected by Balance Problems ?,"In 2008, an estimated 14.8 percent of American adults (33.4 million) had a balance or dizziness problem during the past year. See statistics about the frequency of balance and other sensory impairments in older adults.  (Centers for Disease Control and Prevention)"
What are the symptoms of Balance Problems ?,"If you have a balance disorder, you may stagger when you try to walk, or teeter or fall when you try to stand up. You might experience other symptoms such as -  dizziness or vertigo (a spinning sensation)  -  falling or feeling as if you are going to fall  -  lightheadedness, faintness, or a floating sensation  -  blurred vision  -  confusion or disorientation.  dizziness or vertigo (a spinning sensation) falling or feeling as if you are going to fall lightheadedness, faintness, or a floating sensation blurred vision confusion or disorientation. Other symptoms might include nausea and vomiting, diarrhea, changes in heart rate and blood pressure, and fear, anxiety, or panic. Symptoms may come and go over short time periods or last for a long time, and can lead to fatigue and depression."
What is (are) Balance Problems ?,"There are many types of balance disorders. Three of the most common are BPPV (benign paroxysmal positional vertigo), labyrinthitis, and Menieres disease. BPPV (benign paroxysmal positional vertigo) is one of the most common balance disorders among older adults. With BPPV, you experience a brief, intense feeling of vertigo that occurs when you change the position of your head. You may also experience BPPV when rolling over to the left or right upon getting out of bed, or when looking up for an object on a high shelf. In BPPV, small calcium particles in the inner ear become displaced, causing dizziness. The reason the particles get displaced is not known, although it may result from an inner ear infection, head injury, or aging.  Labyrinthitis is  is another type of balance disorder. The labyrinth is an organ of the inner ear that helps you maintain your balance. When the labyrinth becomes infected or swollen, it is typically accompanied by vertigo and imbalance. Upper respiratory infections and other viral infections, and, less commonly, bacterial infections, can lead to labyrinthitis. Mnire's disease is a balance disorder that causes - vertigo  - hearing loss that comes and goes  - tinnitus, which is a ringing or roaring in the ears   - a feeling of fullness in the ear. vertigo hearing loss that comes and goes tinnitus, which is a ringing or roaring in the ears a feeling of fullness in the ear. Mnire's disease can affect adults of any age. The cause is unknown.  See a fuller list of balance disorders."
What causes Balance Problems ?,"Some balance disorders are caused by problems in the inner ear. The part of the inner ear that is responsible for balance is the vestibular system, often refered to as the labyrinth. When the labyrinth becomes infected or swollen -- a condition called labyrinthitis -- it is typically accompanied by vertigo and imbalance. Upper respiratory infections, other viral infections, and, less commonly, bacterial infections, can lead to labyrinthitis. Other balance disorders may involve another part of the body, such as the brain or the heart. For example, diseases of the circulatory system, such as stroke, can cause dizziness and other balance problems. Smoking and diabetes can increase the risk of stroke. Low blood pressure also can cause dizziness. Aging, infections, head injury, and many medicines may also result in a balance problem."
How to prevent Balance Problems ?,"An ear infection called otitis media can cause balance problems. Otitis media is most common in children, but adults can get it, too. You can help prevent otitis media by washing your hands frequently. Also, talk to your doctor about getting a yearly flu shot to stave off flu-related ear infections. If you do get an ear infection, see a doctor immediately before it becomes more serious. Learn more about otitis media and other ear infections.  (Centers for Disease Control and Prevention)"
What is (are) COPD ?,"Chronic obstructive pulmonary disease, or COPD, is a progressive lung disease in which the airways of the lungs become damaged, making it hard to breathe. You may also have heard COPD called other names, like emphysema or chronic bronchitis. In people who have COPD, the airways that carry air in and out of the lungs are partially blocked, making it difficult to get air in and out. COPD is a major cause of death and illness throughout the world. It kills more than 120,000 Americans each year. That's one death every 4 minutes. How COPD Affects Airways The ""airways"" are the tubes that carry air in and out of the lungs through the nose and mouth. The airways of the lungs branch out like an upside-down tree. At the end of each branch are many small, balloon-like air sacs. In healthy people, the airways and air sacs are elastic (stretchy). When you breathe in, each air sac fills up with air, like a small balloon, and when you breathe out, the balloon deflates and the air goes out. In people with COPD, the airways and air sacs lose their shape and become floppy. Less air gets in and less air goes out of the airways because - The airways and air sacs lose their elasticity like an old rubber band.  - The walls between many of the air sacs are destroyed.  - The walls of the airways become thick and inflamed or swollen.  - Cells in the airways make more mucus or sputum than usual, which tends to clog the airways. The airways and air sacs lose their elasticity like an old rubber band. The walls between many of the air sacs are destroyed. The walls of the airways become thick and inflamed or swollen. Cells in the airways make more mucus or sputum than usual, which tends to clog the airways. COPD Develops Slowly, Has No Cure When COPD is severe, shortness of breath and other symptoms of COPD can get in the way of even the most basic tasks, such as doing light housework, taking a walk, even washing and dressing. COPD develops slowly, and it may be many years before you notice symptoms like feeling short of breath. Most of the time, COPD is diagnosed in middle-aged or older people. There is no cure for COPD. The damage to your airways and lungs cannot be reversed, but there are things you can do to control the disabling effects of the disease. COPD is not contagious. You cannot catch it from someone else."
What is (are) COPD ?,"Chronic obstructive pulmonary disease, or COPD, is a progressive lung disease in which the airways of the lungs become damaged, making it harder to breathe. With COPD, airways become blocked, making it harder to get air in and out."
What causes COPD ?,"Cigarette smoking is the most common cause of COPD. Most people with COPD are smokers or have been smokers in the past. Breathing in other fumes and dusts over long periods of time can also lead to COPD. Pipe, cigar, and other types of tobacco smoking can cause COPD, especially if the smoke is inhaled. Exposure to secondhand smoke can play a role in causing COPD. Most people with COPD are at least 40 years old or around middle age when symptoms start."
What are the symptoms of COPD ?,"The most common symptoms of COPD are a cough that does not go away and coughing up a lot of sputum (mucus). These symptoms may occur years before lung damage has reduced the flow of air in and out of the lungs. Other symptoms of COPD include shortness of breath, especially with exercise; wheezing (a whistling sound when you breathe); and tightness in the chest."
How to diagnose COPD ?,"If you have not been exercising regularly, you should get the advice of your doctor before starting. The symptoms of COPD are different for each person. People with mild COPD may not have much difficulty walking or exercising. As the symptoms of COPD get worse over time, a person may have more difficulty with walking and exercising. You should talk to your doctor about exercising and whether you would benefit from a pulmonary or lung rehabilitation program."
What are the symptoms of COPD ?,"Call your doctor right away if your symptoms worsen suddenly. People with COPD may have symptoms that suddenly get worse. When this happens, you have a much harder time catching your breath. Symptoms that worsen suddenly can include sudden chest tightness, more coughing, a change in your sputum (mucus), or fever. Your doctor will look at things that may be causing these sudden symptoms. Sometimes the symptoms are caused by a lung infection."
What is (are) COPD ?,"More information on COPD is available at:  What is COPD? and at the  Learn More, Breathe Better Campaign  For information on quitting smoking, visit http://www.surgeongeneral.gov/tobacco/ or  Smokefree.gov. For information on the H1N1 flu and COPD, go to  The Centers for Disease Control and Prevention."
What causes Alzheimer's Disease ?,"There are two types of Alzheimers diseaseearly-onset and late-onset. Early-onset Alzheimers is a rare form of the disease that occurs in people age 30 to 60. It occurs in less than 5 percent of all people with Alzheimers. Almost all people with Alzheimers disease have late-onset Alzheimer's, which usually develops after age 60. Causes Not Fully Understood Scientists do not yet fully understand what causes Alzheimer's disease in most people. In early-onset Alzheimers, a genetic mutation is usually the cause. Late-onset Alzheimers arises from a complex series of brain changes that occur over decades. The causes probably include a mix of genetic, environmental, and lifestyle factors. These factors affect each person differently. Research shows that Alzheimers disease causes changes in the brain years and even decades before the first symptoms appear, so even people who seem free of the disease today may be at risk. Scientists are developing sophisticated tests to help identify who is most likely to develop symptoms of Alzheimers. Ultimately, they hope to prevent or delay dementia in these high-risk individuals. Risk Factors Some risk factors for Alzheimers, like age and genetics, cannot be controlled. Other factors that may play a role in the development of the diseasesuch as how much a person exercises or socializescan be changed. Lifestyle factors, such as diet and physical exercise, and long-term health conditions, like high blood pressure and diabetes, might also play a role in the risk of developing Alzheimers disease. For more information, see the chapter entitled Prevention. Older AgeThe Biggest Risk Factor Increasing age is the most important known risk factor for Alzheimer's disease. The number of people with the disease doubles every 5 years beyond age 65. Nearly half of people age 85 and older may have Alzheimers. These facts are significant because the number of older adults is growing. Genetics Genetics appears to play a part in both early- and late-onset Alzheimers disease. In early-onset Alzheimers, most cases are caused by specific genetic mutations permanent changes in genes that can be passed on from a parent to a child. This results in early-onset familial Alzheimers disease, or FAD. Most people with Alzheimers disease have late-onset Alzheimer's, in which symptoms appear in a persons mid-60s. No obvious family pattern is seen in most of these cases, but certain genetic factors appear to increase a persons risk. Many studies have linked the apolipoprotein E gene to late-onset Alzheimers. One form of this gene, APOE 4, increases a persons risk of getting the disease. But many people who get Alzheimers do not have the APOE 4 gene, and some people with the gene never get Alzheimers. Scientists have identified a number of other genes in addition to APOE 4 that may increase a persons risk for late-onset Alzheimers. Knowing about these genes can help researchers more effectively test possible treatments and prevention strategies in people who are at risk of developing Alzheimers -- ideally, before symptoms appear. Learn more about the genetics of Alzheimers disease."
What is (are) Alzheimer's Disease ?,"Alzheimers disease is a brain disease that slowly destroys memory and thinking skills and, eventually, the ability to carry out the simplest tasks. It begins slowly and gets worse over time. Currently, it has no cure. Alzheimers disease is the most common cause of dementia in older people.  Get more details about Alzheimer's disease."
What is (are) Alzheimer's Disease ?,"Dementia is a loss of thinking, remembering, and reasoning skills that interferes with a persons daily life and activities. Alzheimers disease is the most common cause of dementia among older people. Dementia ranges in severity from the mild stage, when it is just beginning to affect a persons functioning, to the severe stage, when the person must depend completely on others for care."
What is (are) Alzheimer's Disease ?,"Memory problems are typically one of the first signs of Alzheimers disease, though different people may have different initial symptoms. A decline in other aspects of thinking, such as finding the right words, vision/spatial issues, and impaired reasoning or judgment, may also signal the very early stages of Alzheimers disease."
What causes Alzheimer's Disease ?,"Scientists do not yet fully understand what causes Alzheimer's disease in most people. In early-onset Alzheimers, which occurs in people between the ages of 30 and 60, a genetic mutation is usually the cause. Late-onset Alzheimers, which usually develops after age 60, arises from a complex series of brain changes that occur over decades. The causes probably include a mix of genetic, environmental, and lifestyle factors. These factors affect each person differently. Learn more about the genetics of Alzheimers disease.  Increasing age is the most important known risk factor for Alzheimer's disease. Lifestyle factors, such as diet and physical exercise, and long-term health conditions, like high blood pressure and diabetes, might also play a role in the risk of developing Alzheimers disease."
How to diagnose Alzheimer's Disease ?,The time from diagnosis of Alzheimers disease to death varies. It can be as little as 3 or 4 years if the person is over 80 years old when diagnosed or as long as 10 years or more if the person is younger.
How to prevent Alzheimer's Disease ?,"Currently, no medicines or treatments are known to prevent Alzheimer's disease, but scientists are studying many possibilities. These possibilities include lifestyle factors such as exercise and physical activity, a healthy diet, and mentally stimulating activities. In addition to lifestyle factors, scientists have found clues that some long-term health conditions, like heart disease, high blood pressure, and diabetes, are related to Alzheimer's disease. Its possible that controlling these conditions will reduce the risk of developing Alzheimers."
How to prevent Alzheimer's Disease ?,"Research suggests that exercise may play a role in reducing risk for Alzheimers disease. Animal studies show that exercise increases both the number of small blood vessels that supply blood to the brain and the number of connections between nerve cells in older rats and mice. In addition, researchers have found that exercise raises the level of a nerve growth factor (a protein key to brain health) in an area of the brain that is important to memory and learning.  Learn more about the benefits of exercise for older adults. For more on specific exercises geared to the needs of older adults, visit Go4Life, the exercise and physical activity campaign from the National Institute on Aging."
How to prevent Alzheimer's Disease ?,"A number of studies suggest that eating certain foods may help keep the brain healthyand that others can be harmful. Researchers are looking at whether a healthy dietone that includes lots of fruits, vegetables, and whole grains and is low in fat and added sugarcan help prevent Alzheimers. For more information about healthy eating as you age, see  Eating Well As You Get Older."
How to prevent Alzheimer's Disease ?,"Keeping the mind sharpthrough social engagement or intellectual stimulationis associated with a lower risk of Alzheimers disease. Activities like working, volunteering, reading, going to lectures, and playing computer and other games are being studied to see if they might help prevent Alzheimers. But we do not know with certainty whether these activities can actually prevent Alzheimers.  Find out about things you can do that may keep your brain healthy."
what research (or clinical trials) is being done for Alzheimer's Disease ?,"Basic research helps scientists gain new knowledge about a disease process, including how and why it starts and progresses. In Alzheimers disease, basic research seeks to identify the cellular, molecular, and genetic processes that lead to the disease. For example, scientists are studying - the ways in which plaques and tangles damage nerve cells in the brain  - the very earliest brain changes in the disease process  - the role of Alzheimers risk-factor genes in the development of the disease  - how risk-factor genes interact with other genes and lifestyle or environmental factors to affect Alzheimers risk. the ways in which plaques and tangles damage nerve cells in the brain the very earliest brain changes in the disease process the role of Alzheimers risk-factor genes in the development of the disease how risk-factor genes interact with other genes and lifestyle or environmental factors to affect Alzheimers risk. See the latest Alzheimers Disease Progress Report to read about results of NIA-supported Alzheimers research."
what research (or clinical trials) is being done for Alzheimer's Disease ?,"Translational research grows out of basic research. It creates new medicines, devices, or behavioral interventions aimed at preventing, diagnosing, or treating a disease. An important goal of Alzheimers translational research is to increase the number and variety of potential new medicines and other interventions that are approved for testing in humans. Scientists also examine medicines approved to treat other diseases to see they might be effective in people with Alzheimers. The most promising interventions are tested in test-tube and animal studies to make sure they are safe and effective. Currently, a number of different substances are under development that may one day be used to treat the symptoms of Alzheimers disease or mild cognitive impairment. See the latest Alzheimers Disease Progress Report to read about results of NIA-supported Alzheimers research."
Who is at risk for Colorectal Cancer? ?,"Scientists don't know exactly what causes colorectal cancer, but they have been able to identify some risk factors for the disease. A risk factor is anything that increases your chances of getting a disease. Studies show that the following risk factors may increase a person's chances of developing colorectal cancer: age, polyps, personal history, family history, and ulcerative colitis. Age Colorectal cancer is more likely to occur as people get older. It is more common in people over the age of 50, but younger people can get it, too. In rare cases, it can occur in adolescence. Polyps Polyps are benign, or non-cancerous, growths on the inner wall of the colon and rectum. They are fairly common in people over age 50. Some types of polyps increase a person's risk of developing colorectal cancer. Not all polyps become cancerous, but nearly all colon cancers start as polyps. Diet The link between diet and colorectal cancer is not firmly established. There is evidence that smoking cigarettes and drinking 3 or more alcoholic beverages daily may be associated with an increased risk of colorectal cancer. Personal History Research shows that women with a history of cancer of the ovary, uterus, or breast have a somewhat increased chance of developing colorectal cancer. Also, a person who has already had colorectal cancer may develop this disease a second time. Family History The parents, siblings, and children of a person who has had colorectal cancer are somewhat more likely to develop this type of cancer themselves. This is especially true if the relative had the cancer at a young age. If many family members have had colorectal cancer, the chances increase even more. Ulcerative colitis Ulcerative colitis is a condition in which there is a chronic break in the lining of the colon. Having this condition increases a person's chance of developing colorectal cancer. Genetic Mutations Researchers have identified genetic mutations, or abnormalities, that may be linked to the development of colon cancer. They are working to unravel the exact ways these genetic changes occur. Recent results from The Cancer Genome Atlas study of colorectal cancer point to several genes (BRAF and EGRF among others) that may increase risk. If You Have Risk Factors If you have one or more of these risk factors, it doesn't mean you will get colorectal cancer. It just increases the chances. You may wish to talk to your doctor about these risk factors. He or she may be able to suggest ways you can reduce your chances of developing colorectal cancer and plan an appropriate schedule for checkups."
What are the symptoms of Colorectal Cancer ?,"Most cancers in their early, most treatable stages don't cause any symptoms. That is why it is important to have regular tests to check for cancer even when you might not notice anything wrong. Common Signs and Symptoms When colorectal cancer first develops, there may be no symptoms at all. But as the cancer grows, it can cause changes that people should watch for. Common signs and symptoms of colorectal cancer include: - a change in the frequency of bowel movements  - diarrhea, constipation, or feeling that the bowel does not empty completely  - either bright red or very dark blood in the stool  - stools that are narrower than usual  - general abdominal discomfort such as frequent gas pains, bloating, fullness, and/or cramps  - weight loss with no known reason  - constant tiredness  - vomiting a change in the frequency of bowel movements diarrhea, constipation, or feeling that the bowel does not empty completely either bright red or very dark blood in the stool stools that are narrower than usual general abdominal discomfort such as frequent gas pains, bloating, fullness, and/or cramps weight loss with no known reason constant tiredness vomiting These symptoms may be caused by colorectal cancer or by other conditions. It is important to check with a doctor if you have symptoms because only a doctor can make a diagnosis. Don't wait to feel pain. Early cancer usually doesn't cause pain. Lowering Your Risk Factors Lower your risk factors where possible. Colon cancer can be prevented if polyps that lead to the cancer are detected and removed. If colon cancer is found in its earliest stages, it is up to 90 percent curable. Tools for Early Detection Beginning at age 50, the following tools are all used for early detection. They can help identify pre-cancerous conditions. If you are younger than 50 and one of your first-degree relatives has had colon cancer, you should consult with your doctor. Tools used for early detection: - A fecal occult blood test, or FOBT, is a test used to check for hidden blood in the stool. Sometimes cancers or polyps can bleed, and FOBT can detect small amounts of bleeding. Newer, genetically-based stool tests are proving to be more accurate than older tests.  - A sigmoidoscopy is an examination of the rectum and lower colon -- or sigmoid colon -- using a lighted instrument called a sigmoidoscope.   - A colonoscopy is an examination of the rectum and the large intestine (but not the small intestine) using a lighted instrument called a colonoscope.   - A virtual colonoscopy, which requires the same preparation as a standard colonoscopy, is done with an external scanning machine as opposed to a device inserted into the colon, although the colon does need to be inflated with gas for proper scanning. A fecal occult blood test, or FOBT, is a test used to check for hidden blood in the stool. Sometimes cancers or polyps can bleed, and FOBT can detect small amounts of bleeding. Newer, genetically-based stool tests are proving to be more accurate than older tests. A sigmoidoscopy is an examination of the rectum and lower colon -- or sigmoid colon -- using a lighted instrument called a sigmoidoscope. A colonoscopy is an examination of the rectum and the large intestine (but not the small intestine) using a lighted instrument called a colonoscope. A virtual colonoscopy, which requires the same preparation as a standard colonoscopy, is done with an external scanning machine as opposed to a device inserted into the colon, although the colon does need to be inflated with gas for proper scanning."
What is (are) Colorectal Cancer ?,"The body is made up of many types of cells. Normally, cells grow, divide, and produce more cells as needed to keep the body healthy and functioning properly. Sometimes, however, the process goes wrong. Cells become abnormal and form more cells in an uncontrolled way. These extra cells form a mass of tissue, called a growth or tumor. Tumors can be benign, which means non-cancerous, or malignant, which means cancerous."
What is (are) Colorectal Cancer ?,"Cancer of the colon or rectum is called colorectal cancer. The colon and the rectum are part of the large intestine, which is part of the digestive system. Colorectal cancer occurs when malignant tumors form in the lining of the large intestine, also called the large bowel."
How many people are affected by Colorectal Cancer ?,Colorectal cancer accounts for almost ten percent of all cancer deaths in the United States. The risk of developing colorectal cancer rises after age 50. It is common in both men and women.
Who is at risk for Colorectal Cancer? ?,"Studies show that the following risk factors may increase a person's chances of developing colorectal cancer: age, polyps, personal history, family history, and ulcerative colitis."
Who is at risk for Colorectal Cancer? ?,Yes. Ulcerative colitis is a condition in which there is a chronic break in the lining of the colon. It has been associated with an increased risk of colon cancer.
What is (are) Colorectal Cancer ?,"Parents, siblings, or children of a person who has had colorectal cancer are somewhat more likely to develop this type of cancer themselves. This is especially true if the relative had the cancer at a young age. If many family members have had colorectal cancer, the chances increase even more."
What are the symptoms of Colorectal Cancer ?,"Possible signs of colorectal cancer include: - a change in the frequency of bowel movements   - diarrhea, constipation, or feeling that the bowel does not empty completely   - either bright red or very dark blood in the stool a change in the frequency of bowel movements diarrhea, constipation, or feeling that the bowel does not empty completely either bright red or very dark blood in the stool - stools that are narrower than usual  - general abdominal discomfort such as frequent gas pains, bloating, fullness, and/or cramps   - weight loss with no known reason  - constant tiredness  - vomiting stools that are narrower than usual general abdominal discomfort such as frequent gas pains, bloating, fullness, and/or cramps weight loss with no known reason constant tiredness vomiting"
What is (are) Colorectal Cancer ?,"Here are some of the tools used to detect colorectal cancer. - A fecal occult blood test, or FOBT, is a test used to check for hidden blood in the stool. Sometimes cancers or polyps can bleed, and FOBT can detect small amounts of bleeding. Newer, genetically-based stool tests are proving to be more accurate than older tests. A fecal occult blood test, or FOBT, is a test used to check for hidden blood in the stool. Sometimes cancers or polyps can bleed, and FOBT can detect small amounts of bleeding. Newer, genetically-based stool tests are proving to be more accurate than older tests. - A sigmoidoscopy is an examination of the rectum and lower colon -- or sigmoid colon -- using a lighted instrument called a sigmoidoscope. A sigmoidoscopy is an examination of the rectum and lower colon -- or sigmoid colon -- using a lighted instrument called a sigmoidoscope.  - A colonoscopy is an examination of the rectum and the large intestine (but not the small intestine) using a lighted instrument called a colonoscope. A colonoscopy is an examination of the rectum and the large intestine (but not the small intestine) using a lighted instrument called a colonoscope.  - A virtual colonoscopy, which requires the same preparation as a standard colonoscopy, is done with an external scanning machine as opposed to a device inserted into the colon. The colon does need to be inflated with gas for proper scanning. A virtual colonoscopy, which requires the same preparation as a standard colonoscopy, is done with an external scanning machine as opposed to a device inserted into the colon. The colon does need to be inflated with gas for proper scanning."
What is (are) Colorectal Cancer ?,"Yes. In July 2008, the U.S. Preventive Services Task Force made its strongest ever recommendation for colorectal cancer screening: it suggested that all adults between ages 50 and 75 get screened, or tested, for the disease. The task force noted that various screening tests are available, making it possible for patients and their clinicians to decide which test is best for each person."
What is (are) Colorectal Cancer ?,"Several types of surgery are available for someone with colorectal cancer. If the cancer is found at a very early stage, the doctor may remove it without cutting through the abdominal wall. Instead, the doctor may put a tube up the rectum into the colon and cut the cancer out. This is called a local excision. If the cancer is found in a polyp, which is a small bulging piece of tissue, the operation is called a polypectomy. If the cancer is larger, the surgeon will remove the cancer and a small amount of healthy tissue around it. This is called a colectomy. The surgeon may then sew the healthy parts of the colon together. Usually, the surgeon will also remove lymph nodes near the colon and examine them under a microscope to see whether they contain cancer. If the doctor is not able to sew the two ends of the colon back together, an opening called a stoma is made on the abdomen for waste to pass out of the body before it reaches the rectum. This procedure is called a colostomy. Sometimes the colostomy is needed only until the lower colon has healed, and then it can be reversed. But if the doctor needs to remove the entire lower colon, the colostomy may be permanent."
Who is at risk for Colorectal Cancer? ?,"Researchers are working hard to understand and identify the genes involved in colorectal cancer. Hereditary nonpolyposis colorectal cancer, or HNPCC, is one condition that causes people to develop colorectal cancer at a young age. The discovery of four genes involved with this disease has provided crucial clues about the role of DNA repair in colorectal and other cancers."
What is (are) Kidney Disease ?,"Kidney disease -- also known as chronic kidney disease (CKD) -- occurs when kidneys can no longer remove wastes and extra water from the blood or perform other functions as they should. According to the Centers for Disease Control and Prevention, more than 20 million Americans may have kidney disease. Many more are at risk. (Watch the video to learn more about kidney disease. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)"
What causes Kidney Disease ?,"Kidney disease is most often caused by diabetes or high blood pressure. Each kidney contains about one million tiny filters made up of blood vessels. These filters are called glomeruli. Diabetes and high blood pressure damage these blood vessels, so the kidneys are not able to filter the blood as well as they used to. Usually this damage happens slowly, over many years. As more and more filters are damaged, the kidneys eventually stop working."
Who is at risk for Kidney Disease? ?,"Diabetes and high blood pressure are the two leading risk factors for kidney disease. Both diabetes and high blood pressure damage the small blood vessels in your kidneys and can cause kidney disease -- without you feeling it.  There are several other risk factors for kidney disease. Cardiovascular (heart) disease is a risk factor. So is family history: if you have a mother, father, sister, or brother who has had kidney disease, then you are at increased risk. African Americans, Hispanics, and Native Americans tend to have a greater risk for kidney failure. This is mostly due to higher rates of diabetes and high blood pressure in these communities, although there may be other reasons. (Watch the video to learn more about the connection between heart disease and kidney disease. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)"
What are the symptoms of Kidney Disease ?,"Kidney disease is often called a ""silent"" disease, because most people have no symptoms in early kidney disease. In fact, you might feel just fine until your kidneys have almost stopped working. Do NOT wait for symptoms! Blood and urine tests are the only way to check for kidney damage or measure kidney function. (Watch the video to learn more about the symptoms of kidney disease. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)"
What is (are) Kidney Disease ?,"When you visit your doctor, here are questions to ask about your kidneys. - What is my GFR?   - What is my urine albumin result?   - What is my blood pressure?   - What is my blood glucose (for people with diabetes)? What is my GFR? What is my urine albumin result? What is my blood pressure? What is my blood glucose (for people with diabetes)?"
